LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-75.2041408,39.9655349,718,N PRESTON ST,,,,,19104,061198700,78b57e543b12a817
-75.2107908,39.9662009,765,N 44TH ST,,,,,19104,061299100,46e06c6fc9fee417
-75.2011526,39.9674226,3920,BROWN ST,,,,,19104,243068200,cbc7a07c3169e93e
-75.1911484,39.9657354,3316,MELON ST,,,,,19104,242103400,589d4f71b3a3ee0f
-75.2127889,39.9512829,410,S 45TH ST,,,,,19104,461147410,3bda5f93c10b1451
-75.2029741,39.961782,4017,SPRING GARDEN ST,,,,,19104,061033600,9193946e0a756ff3
-75.2126724,39.9709979,962,N 45TH ST,,,,,19104,062363400,a31a68e3c661cd86
-75.2117608,39.9562225,120,S 45TH ST,,,,,19104,601071700,008b0ec2c62c9983
-75.2096269,39.951975,320,S 43RD ST,,,,,19104,272117105,42bb86a6da4ea656
-75.2017991,39.9506981,3909,PINE ST,,,,,19104,271088705,18a0ae0ff1c30ca7
-75.1944186,39.9675299,3520,MANTUA AVE,,,,,19104,243002700,ab38fa7b145c7e20
-75.2109555,39.9704463,4321,PENNSGROVE ST,,,,,19104,062130300,a8474bda9f3c8985
-75.2033164,39.9645009,659,N PRESTON ST,,,,,19104,061186100,75a20d73042b473d
-75.2115943,39.9718153,1021,BELMONT AVE,,,,,19104,062333650,2f756c11377be758
-75.2070396,39.9589613,4221,POWELTON AVE,,,,,19104,061021600,bf9872670283483d
-75.2096439,39.9746055,4168,LEIDY AVE,,,,,19104,062193100,a6f469dc2970c885
-75.2088989,39.9656282,4232,ASPEN ST,,,,,19104,061149510,4a4e610dadc3b006
-75.2061166,39.9491742,506,S 41ST ST,,,,,19104,881121200,314b6b7a4eaf6cd8
-75.202712,39.9678292,3974,RENO ST,,,,,19104,243130500,30a2fcfde285d0f2
-75.2106431,39.9739991,4216,W STILES ST,,,,,19104,062184312,e858bc75349c0eb1
-75.2074224,39.9678038,4142,PARRISH ST,,,,,19104,062051800,3b2e687034e8ca23
-75.1926841,39.9534908,3412,SANSOM ST,,,,,19104,871124950,c5e1ee60499a5f9a
-75.2105861,39.9737096,4221,W GIRARD AVE,,,,,19104,886810134,3b6016f17788273b
-75.2101625,39.9655096,4310,ASPEN ST,,,,,19104,061150500,fdc61ec9aa00485c
-75.1993959,39.9629713,3858,HAVERFORD AVE,,,,,19104,881108372,d7c4ab4c24fad334
-75.2120262,39.969411,4429,LANCASTER AVE,,,,,19104,885766820,0de0fcd1a2a7438c
-75.2022407,39.9731469,3921,POPLAR ST,,,,,19104,243206310,a0de79af874a8321
-75.2094924,39.9670926,4221,BROWN ST,,,,,19104,062005000,0cb229eb3c9f2d91
-75.2090477,39.9651967,721,N 43RD ST,,,,,19104,061280600,226c6adafb89546e
-75.2122456,39.9539757,236,S 45TH ST,,,,,19104,461145200,a63626227ddf29cc
-75.2100403,39.9705174,923,N 43RD ST,,,,,19104,062312100,3ad586d5d3cfe98a
-75.2028475,39.9637636,4021-23,LANCASTER AVE,,,,,19104,871402190,e778e0c5e6abd10e
-75.201035,39.9666858,3925,ASPEN ST,,,,,19104,243049515,f984fb0478d08b93
-75.1997943,39.972316,3813,PENNSGROVE ST,,,,,19104,243170810,8e3eb9b888d9890b
-75.2027659,39.9734082,1124,STATE ST,,,,,19104,243233700,3814fc527a784d5b
-75.202916,39.9733903,1125,UNION ST,,,,,19104,243227000,0307f9af6a396c44
-75.2006988,39.9649488,3913,MELON ST,,,,,19104,242224000,487c441d64080694
-75.1906723,39.9632323,3321,SPRING GARDEN ST,,,,,19104,242003000,5b063acbac2a41ff
-75.1988975,39.963027,3844,HAVERFORD AVE,,,,,19104,242041210,abbf3d70409ea7e5
-75.2092623,39.9741526,4118,W STILES ST,,,,,19104,062183200,7ec898ef557885a9
-75.2036256,39.9656112,725,N PRESTON ST,,,,,19104,061188110,5585d990391f582a
-75.2056884,39.9594738,323,N HOLLY ST,,,,,19104,061229000,6439ce8d8eca2794
-75.2073562,39.9742953,4113,LEIDY AVE,,,,,19104,062194400,9d1bca3fe25f3e97
-75.2074682,39.9437985,1356,S 45TH ST,,,,,19104,272150910,c0443822cf3b1dd0
-75.2059725,39.9618687,523,N HOLLY ST,,,,,19104,061232000,925fa9a05160a5f0
-75.2055973,39.9640639,655,N 41ST ST,,,,,19104,061217000,0158da5f01469e4e
-75.20904,39.9570626,4310,LUDLOW ST,,,,,19104,886508500,86da31c10138e5ca
-75.2123432,39.9709538,957,N 45TH ST,,,,,19104,062356100,d1c02c2fcdf9c3c6
-75.2104323,39.9662343,771,PALLAS ST,,,,,19104,061290110,5ff3a33b1f4335fa
-75.2090787,39.9706496,4221,PENNSGROVE ST,,,,,19104,062127800,580e80871dd838c2
-75.190949,39.964623,3320,MOUNT VERNON ST,,,,,19104,242057300,ecd59cb6a55b5823
-75.2104727,39.9756852,4212,VIOLA ST,,,,,19104,062207200,31bf43bd644f52ef
-75.210602,39.9754829,4213,LEIDY AVE,,,,,19104,062199610,84e6407934ec7f1c
-75.1988709,39.967456,3823,FOLSOM ST,,,,,19104,243057900,f5c15b04d5f25035
-75.2007109,39.9678722,3903,BROWN ST,,,,,19104,243121510,79332db49e7fc7c8
-75.2059161,39.966566,756,N 41ST ST,,,,,19104,886856320,f8925105a084839d
-75.2034151,39.9656341,722,WIOTA ST,,,,,19104,061178900,41f2aa427f436701
-75.2070705,39.9732397,4111,CAMBRIDGE ST,,,,,19104,062162300,7d51e138471cb4db
-75.2051849,39.9652286,4095-97,LANCASTER AVE,,,,,19104,882963730,a24b6fb4cc93ef13
-75.2058804,39.9586343,4116,POWELTON AVE,,,,,19104,061014600,394adac1119adf94
-75.2030664,39.9596743,324,WIOTA ST,,,,,19104,061175800,8614004f95a8a6b7
-75.204664,39.9652551,4080,OLIVE ST,,,,,19104,061140100,150a30c0de5a9858
-75.2065586,39.9618159,523,N 42ND ST,,,,,19104,061246800,60ebe888b648b357
-75.2091001,39.964781,703,N 43RD ST,,,,,19104,061279700,f75550823c5cbdb1
-75.208588,39.9680271,4217,PARRISH ST,,,,,19104,062062900,f18bb65cf9007ab0
-75.2089775,39.9701333,4221,WESTMINSTER AVE,,,,,19104,062100600,043b6f67f97f7eb4
-75.2098626,39.9672826,4302,RENO ST,,,,,19104,062042200,9eec36b6b5c24f0e
-75.2098284,39.9670801,4303,BROWN ST,,,,,19104,062005300,f0d9ba048a589963
-75.211105,39.9711542,4320,WYALUSING AVE,,,,,19104,062140700,3d888231de451aa7
-75.207386,39.9703228,4143,WESTMINSTER AVE,,,,,19104,062098800,51754a2c20f805b1
-75.205733,39.9618924,522,N 41ST ST,,,,,19104,061224700,d46e20789d50dc53
-75.2124285,39.9481101,1008,S 45TH ST,,,,,19104,461151600,9ec804f143f463f6
-75.1984505,39.9652123,3823,MELON ST,,,,,19104,242116400,ea3cba6dd4a6b72e
