LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH,preciselyID,livingSquareFootage,saleAmount,buildingID,buildingType,elevation,maximumElevation,minimumElevation,buildingArea
-75.1997093,39.9673627,3857,FOLSOM ST,,Philadelphia,University City,West Philadelphia,19104,243059600,75ee8032afe07fa8,P0000JCBUH5H,1048.0,1350.0,B000CTQ2GAHU,Residential,91.0,92.0,89.0,714.0
-75.21145,39.9736118,4251,W GIRARD AVE,,Philadelphia,University City,West Philadelphia,19104,62182010,feb8c0f508621320,P0000JCD8JKJ,,26200.0,,,,,,
-75.2027293,39.9504068,3956,PINE ST,,Philadelphia,University City,West Philadelphia,19104,271093100,91fbc57d2f9b66a7,P0000JCBULPD,2370.0,10672419.0,B000CTQ2HWBY,Residential,87.0,89.0,84.0,1602.0
-75.1991915,39.9648511,3840,MELON ST,,Philadelphia,University City,West Philadelphia,19104,242110200,4053be377b14ef41,P0000JCBUGWA,1008.0,13000.0,B000CTQ2IWRI,Residential,93.0,93.0,92.0,449.0
-75.2098689,39.9705611,4253,PENNSGROVE ST,,Philadelphia,University City,West Philadelphia,19104,62129400,3f5f45f08c1da7b8,P0000JCBUK6S,998.0,15000.0,B000CTQ2IY3Y,Residential,115.0,115.0,115.0,699.0
-75.1996606,39.9673681,3855,FOLSOM ST,,Philadelphia,University City,West Philadelphia,19104,243059510,de468cee790f2c49,P0000JCBUH5G,1048.0,10000.0,B000CTQ2K15B,Residential,91.0,91.0,89.0,599.0
-75.2097694,39.9700457,4249,WESTMINSTER AVE,,Philadelphia,University City,West Philadelphia,19104,62102000,8c44a7e0c2420029,P0000JCBUK8I,1398.0,,B000CTQ2H2H0,Residential,114.0,114.0,113.0,844.0
-75.2103797,39.9731872,4242,W GIRARD AVE,,Philadelphia,University City,West Philadelphia,19104,62173100,d03ba2d159a0c583,P0000JCBUJMF,2544.0,90000.0,B000CTRV1L2F,Residential,121.0,121.0,120.0,1169.0
-75.2042323,39.9552798,4047,SANSOM ST,,Philadelphia,University City,West Philadelphia,19104,271146100,b1288b58af675c06,P0000JCBUR6O,2280.0,10672419.0,B000CTQ2K0TA,Residential,87.0,88.0,85.0,793.0
-75.1936617,39.9565366,3521-35,MARKET ST,,Philadelphia,University City,West Philadelphia,19104,883073000,20b45d5da26f264d,,,,B000CTRV1RVY,Unknown,68.0,71.0,65.0,27789.0
-75.1999147,39.9684343,3847,RENO ST,,Philadelphia,University City,West Philadelphia,19104,243132920,2681b4740a113374,P0000JCCWJSN,1634.0,,B000CTQ2K26Q,Residential,90.0,90.0,88.0,1735.0
